Iteration,All with BEV100,LFLM with BEV100,All with BEV250
762,44.95,70.54,87.22
763,17.19,52.19,66.03
764,48.99,78.11,90.25
765,57.46,93.98,96.59
766,51.94,83.64,92.45
767,36.42,71.42,79.49
768,42.82,77.82,83.98
769,31.41,66.41,75.98
770,18.87,53.87,67.21
771,45.15,70.90,87.36
772,13.35,48.35,63.35
773,48.17,76.58,89.63
774,44.17,79.17,84.92
775,29.37,64.37,74.56
776,50.80,81.49,91.60
777,59.33,97.50,98.00
778,31.39,66.39,75.98
779,47.25,74.85,88.94
780,41.24,76.24,82.87
781,22.40,57.40,69.68
782,41.49,76.49,83.04
783,21.58,56.58,69.10
784,36.17,54.08,80.63
785,38.91,73.91,81.24
786,56.01,91.28,95.51
787,33.98,68.98,77.79
788,56.20,91.63,95.65
789,65.32,70.85,81.88
790,38.08,57.66,82.06
791,58.48,95.91,97.36
792,38.85,59.08,82.63
793,31.68,66.68,76.18
794,54.22,87.91,94.16
795,27.79,62.79,73.45
796,19.71,54.71,67.79
797,45.47,71.50,87.60
798,17.75,52.75,66.43
799,4.04,39.04,56.83
800,54.43,88.30,94.32
801,19.13,54.13,67.39
802,64.82,70.85,81.88
803,39.95,74.95,81.97
804,29.88,64.88,74.92
805,50.66,81.24,91.50
806,28.22,63.22,73.75
807,52.68,85.02,93.01
808,39.97,74.97,81.98
809,46.14,72.77,88.11
810,43.39,67.61,86.04
811,37.40,56.37,81.55
812,49.48,79.03,90.61
813,38.55,58.54,82.41
814,5.76,40.76,58.03
815,43.69,68.17,86.27
816,49.80,84.80,88.86
817,37.97,72.97,80.58
818,12.91,47.91,63.04
819,49.67,79.39,90.75
820,34.91,69.91,78.44
821,46.87,74.14,88.65
822,39.61,74.61,81.73
823,32.94,67.94,77.06
824,30.81,65.81,75.57
825,31.84,66.84,76.29
826,51.59,82.99,92.19
827,42.39,65.72,85.29
828,33.85,49.71,78.88
829,56.01,91.26,95.50
830,29.83,64.83,74.88
831,24.56,59.56,71.19
832,48.00,83.00,87.60
833,40.11,75.11,82.08
834,24.36,59.36,71.05
835,56.33,91.87,95.75
836,41.65,76.65,83.16
837,54.37,88.20,94.28
838,33.02,68.02,77.12
839,19.57,54.57,67.70
840,20.16,55.16,68.12
841,50.06,85.06,89.04
842,47.91,76.08,89.43
843,39.21,59.78,82.91
844,43.55,67.91,86.16
845,34.10,50.18,79.07
846,42.49,65.91,85.37
847,58.38,95.71,97.28
848,33.03,68.03,77.12
849,10.44,45.44,61.31
850,46.93,74.25,88.70
851,34.50,69.50,78.15
852,36.60,71.60,79.62
853,54.06,87.62,94.05
854,6.29,41.29,58.40
855,44.49,69.68,86.87
856,47.76,75.80,89.32
857,45.71,71.96,87.79
858,20.46,55.46,68.32
859,52.32,84.35,92.74
860,47.52,75.34,89.14
861,45.85,72.23,87.89
862,40.07,61.38,83.55
863,22.05,57.05,69.44
864,44.88,70.39,87.16
865,56.98,93.09,96.24
866,43.08,67.03,85.81
867,48.20,76.63,89.65
868,13.01,48.01,63.11
